"data_name" "description" "last_updated"
"1" "aus_manufacturing" "Annual estimates of key economic and financial performance of the Manufacturing industry in Australia, including income, expenses, profit and capital expenditure" 2024-06-01
"2" "business_counts_sa2" "Counts of actively trading businesses, by industry, business size, and SA2 region." 2024-06-01
"3" "cpi_monthly" "The monthly CPI indicator is a measure of inflation and includes statistics about prices for categories of households expenditures" 2025-09-01
"4" "cpi_quarterly" "The quarterly CPI measures household inflation and includes statistics about price changes for categories of household expenditure" 2025-09-01
"5" "wpi_quarterly" "The WPI measures changes in the price of labour, unaffected by compositional shifts in the labour force, hours worked or employee characteristics" 2025-12-01
"6" "hours_worked" "Monthly hours worked in all jobs" 2026-01-01
"7" "household_spending" "Experimental estimates of household spending" 2025-12-01
"8" "industry_employment" "Employment by ANZSIC group (3-digit)" 2025-11-01
"9" "industry_underemployment" "Underemployment data by ANZSIC industry (1-digit)" 2025-11-01
"10" "internet_vacancy_index" "Number of online job advertisments by occupation" 2025-05-01
"11" "internet_vacancy_regional" "Number of online job advertisments by occupation and internet vacancy region" 2025-05-01
"12" "jobseeker_sa2" "Number of individuals recieving a jobseeker payment or youth allowance payment by SA2 region" 2026-01-01
"13" "labour_account" "Quarterly time series data across Jobs, Persons, Hours and Payments" 2025-09-01
"14" "labour_force" "Headline estimates of employment, unemployment, underemployment, participation and hours worked from the monthly Labour Force Survey" 2026-01-01
"15" "labour_force_briefing" "A subset of the previous 5 years of the labour force survey" 2026-01-01
"16" "payroll_index" "Weekly payroll job indexes, sourced from Single Touch Payroll data" 2025-03-15
"17" "payroll_index_business" "Weekly payroll job indexes, sourced from Single Touch Payroll data" 2025-03-15
"18" "payroll_index_industry" "Weekly payroll job indexes, sourced from Single Touch Payroll data" 2025-03-15
"19" "small_area_labour_market" "Labour market developments by SA2 region" 2024-12-01
